,sketchID,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
93,gears_2.8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,7.0,35.0,28.0,0.0,70.0,0.5,0.4,0.0,0.1
94,gears_2.8624-cf726450-c50a-42ab-a8d5-99b5d0ad0a98,6.0,3.0,3.0,0.0,12.0,0.25,0.25,0.0,0.5
95,gears_2.8798-4a19eaf6-12f9-4a97-adf2-469707d7995f,3.0,3.0,3.0,0.0,9.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
96,gears_2.9226-c136ef9a-0131-4850-bf5f-1beaf85afcc6,1.0,0.0,12.0,9.0,22.0,0.0,0.5454545454545454,0.4090909090909091,0.045454545454545456
97,gears_2.9393-2960082e-f208-4821-ac8e-759fbc3f4d02,0.0,2.0,2.0,0.0,4.0,0.5,0.5,0.0,0.0
98,gears_2.9438-e9871158-5512-4dca-9edd-11caab65234a,5.0,16.0,14.0,2.0,37.0,0.43243243243243246,0.3783783783783784,0.05405405405405406,0.13513513513513514
99,gears_2.9810-988306f1-19e0-4158-a007-261fc2d3ae0b,4.0,3.0,4.0,0.0,11.0,0.2727272727272727,0.36363636363636365,0.0,0.36363636363636365
100,levers_1.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,1.0,14.0,0.0,0.0,15.0,0.9333333333333333,0.0,0.0,0.06666666666666667
101,levers_1.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,3.0,7.0,5.0,10.0,25.0,0.28,0.2,0.4,0.12
102,levers_1.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,0.0,8.0,0.0,2.0,10.0,0.8,0.0,0.2,0.0
103,levers_1.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,10.0,5.0,10.0,0.0,25.0,0.2,0.4,0.0,0.4
104,levers_1.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,5.0,3.0,2.0,8.0,18.0,0.16666666666666666,0.1111111111111111,0.4444444444444444,0.2777777777777778
105,levers_1.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,4.0,3.0,2.0,0.0,9.0,0.3333333333333333,0.2222222222222222,0.0,0.4444444444444444
106,levers_1.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,10.0,12.0,11.0,0.0,33.0,0.36363636363636365,0.3333333333333333,0.0,0.30303030303030304
107,levers_1.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,3.0,1.0,2.0,0.0,6.0,0.16666666666666666,0.3333333333333333,0.0,0.5
108,levers_1.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,2.0,1.0,0.0,2.0,5.0,0.2,0.0,0.4,0.4
109,levers_1.1073-31f69960-6dfc-4e45-9a3c-6d7eaa33103e,4.0,8.0,0.0,0.0,12.0,0.6666666666666666,0.0,0.0,0.3333333333333333
110,levers_1.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,3.0,5.0,4.0,0.0,12.0,0.4166666666666667,0.3333333333333333,0.0,0.25
111,levers_1.1568-93d31830-7fa2-4f39-8dac-4da643666140,3.0,4.0,4.0,12.0,23.0,0.17391304347826086,0.17391304347826086,0.5217391304347826,0.13043478260869565
112,levers_1.1881-7a2da28a-47fe-4371-abd1-e8ca6740eada,6.0,2.0,2.0,0.0,10.0,0.2,0.2,0.0,0.6
113,levers_1.1887-0675d919-20c4-4940-9610-d294d43c9bc1,1.0,7.0,4.0,0.0,12.0,0.5833333333333334,0.3333333333333333,0.0,0.08333333333333333
114,levers_1.1991-e997567a-fe35-409f-a17b-8a14b7585294,4.0,3.0,4.0,7.0,18.0,0.16666666666666666,0.2222222222222222,0.3888888888888889,0.2222222222222222
115,levers_1.2659-dd1b5c39-13c7-4a69-836f-03279f53939d,4.0,11.0,9.0,0.0,24.0,0.4583333333333333,0.375,0.0,0.16666666666666666
116,levers_1.2803-ce4e1ad2-c29d-4097-9d03-c5097c1e103e,10.0,12.0,9.0,1.0,32.0,0.375,0.28125,0.03125,0.3125
117,levers_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,0.0,0.0,12.0,2.0,14.0,0.0,0.8571428571428571,0.14285714285714285,0.0
118,levers_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,6.0,5.0,5.0,13.0,29.0,0.1724137931034483,0.1724137931034483,0.4482758620689655,0.20689655172413793
119,levers_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,24.0,7.0,10.0,1.0,42.0,0.16666666666666666,0.23809523809523808,0.023809523809523808,0.5714285714285714
120,levers_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,26.0,6.0,7.0,0.0,39.0,0.15384615384615385,0.1794871794871795,0.0,0.6666666666666666
121,levers_1.4032-8dfa87ba-2459-483b-a538-b02c05bbdab2,10.0,5.0,3.0,0.0,18.0,0.2777777777777778,0.16666666666666666,0.0,0.5555555555555556
122,levers_1.4439-0eca0566-7cd9-4da5-b710-085e65a285e5,3.0,2.0,2.0,0.0,7.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855
123,levers_1.4564-a9b5aa08-b02c-4ba3-a97d-be23a7fd9cc3,7.0,3.0,4.0,0.0,14.0,0.21428571428571427,0.2857142857142857,0.0,0.5
124,levers_1.4565-36193ae4-51f5-4fa7-8105-88a5da44b9da,1.0,0.0,4.0,3.0,8.0,0.0,0.5,0.375,0.125
125,levers_1.4621-e895c1a2-bb35-4aaa-9dea-1fbe89a16b08,5.0,5.0,5.0,0.0,15.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
126,levers_1.4659-683c0845-cf14-4240-bd20-573c8b7926d8,10.0,20.0,0.0,9.0,39.0,0.5128205128205128,0.0,0.23076923076923078,0.2564102564102564
127,levers_1.4786-26a27eb2-3267-43ec-9911-66d292ce846f,5.0,3.0,0.0,0.0,8.0,0.375,0.0,0.0,0.625
128,levers_1.5191-babaa9e9-312d-4429-8546-0b7b2395d92c,27.0,8.0,9.0,0.0,44.0,0.18181818181818182,0.20454545454545456,0.0,0.6136363636363636
129,levers_1.5235-eb1c8b46-bab0-42e7-8fea-bc50850cd0de,0.0,6.0,0.0,4.0,10.0,0.6,0.0,0.4,0.0
130,levers_1.5369-de50eae9-8b3d-44d0-89c1-b279c4fea591,0.0,0.0,6.0,4.0,10.0,0.0,0.6,0.4,0.0
131,levers_1.5854-18de046e-63e2-4225-89ae-e606873818b0,5.0,5.0,0.0,0.0,10.0,0.5,0.0,0.0,0.5
132,levers_1.6182-d61fc503-aec8-4628-a767-04fadedc083f,15.0,7.0,11.0,0.0,33.0,0.21212121212121213,0.3333333333333333,0.0,0.45454545454545453
133,levers_1.6317-08207a69-0532-454a-a7d0-1f5618708db0,1.0,5.0,4.0,7.0,17.0,0.29411764705882354,0.23529411764705882,0.4117647058823529,0.058823529411764705
134,levers_1.6913-0d12dbb2-8462-4303-b6cf-7479942d1541,2.0,9.0,5.0,0.0,16.0,0.5625,0.3125,0.0,0.125
135,levers_1.6930-a8fd4222-86f3-4623-99f4-fb8794cd4962,25.0,23.0,13.0,11.0,72.0,0.3194444444444444,0.18055555555555555,0.1527777777777778,0.3472222222222222
136,levers_1.6943-85eb7519-bc4d-4f4f-8a72-18670800d8e6,0.0,6.0,5.0,0.0,11.0,0.5454545454545454,0.45454545454545453,0.0,0.0
137,levers_1.7539-a65b7363-3afb-43a6-850a-5c80a1202ddc,11.0,21.0,4.0,0.0,36.0,0.5833333333333334,0.1111111111111111,0.0,0.3055555555555556
138,levers_1.7873-86193d3b-b7ba-4998-b5c2-eef9e242d7d5,0.0,5.0,0.0,6.0,11.0,0.45454545454545453,0.0,0.5454545454545454,0.0
139,levers_1.7949-a2356f93-f47d-4e7d-ae6d-11f1e8409b36,8.0,5.0,4.0,0.0,17.0,0.29411764705882354,0.23529411764705882,0.0,0.47058823529411764
140,levers_1.8099-977cb375-6430-4168-9a78-d0ac87428542,7.0,9.0,13.0,0.0,29.0,0.3103448275862069,0.4482758620689655,0.0,0.2413793103448276
141,levers_1.8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,22.0,5.0,4.0,0.0,31.0,0.16129032258064516,0.12903225806451613,0.0,0.7096774193548387
142,levers_1.8624-cf726450-c50a-42ab-a8d5-99b5d0ad0a98,0.0,10.0,0.0,4.0,14.0,0.7142857142857143,0.0,0.2857142857142857,0.0
143,levers_1.8798-4a19eaf6-12f9-4a97-adf2-469707d7995f,2.0,4.0,2.0,5.0,13.0,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.15384615384615385
144,levers_1.9226-c136ef9a-0131-4850-bf5f-1beaf85afcc6,1.0,7.0,0.0,5.0,13.0,0.5384615384615384,0.0,0.38461538461538464,0.07692307692307693
145,levers_1.9393-2960082e-f208-4821-ac8e-759fbc3f4d02,0.0,4.0,4.0,0.0,8.0,0.5,0.5,0.0,0.0
146,levers_1.9438-e9871158-5512-4dca-9edd-11caab65234a,15.0,13.0,12.0,0.0,40.0,0.325,0.3,0.0,0.375
147,levers_1.9810-988306f1-19e0-4158-a007-261fc2d3ae0b,9.0,6.0,9.0,7.0,31.0,0.1935483870967742,0.2903225806451613,0.22580645161290322,0.2903225806451613
148,levers_2.0219-e77f751a-a934-4602-97a0-f2c0bd8bd638,1.0,6.0,1.0,6.0,14.0,0.42857142857142855,0.07142857142857142,0.42857142857142855,0.07142857142857142
149,levers_2.0366-5aa209bd-fda5-4afd-b896-9371d73ab1df,3.0,4.0,4.0,1.0,12.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.25
150,levers_2.0524-70721cbe-8f3d-4e95-ad78-7b70a6f7c538,16.0,4.0,9.0,0.0,29.0,0.13793103448275862,0.3103448275862069,0.0,0.5517241379310345
151,levers_2.0587-0a7bf55b-0d5c-4936-ae31-e30191e2be59,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0
152,levers_2.0641-f65a5813-73f1-4a74-8400-1df917c1e4d7,4.0,4.0,3.0,0.0,11.0,0.36363636363636365,0.2727272727272727,0.0,0.36363636363636365
153,levers_2.0699-e9c84818-251c-4d0a-ab36-a05f17f4e794,2.0,2.0,0.0,8.0,12.0,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666
154,levers_2.0724-78dbf8af-eee2-44d3-8724-5e3fad9f2ba5,4.0,4.0,3.0,12.0,23.0,0.17391304347826086,0.13043478260869565,0.5217391304347826,0.17391304347826086
155,levers_2.0829-396e1830-1b25-418a-b8d9-0c7ee8ed0dd1,0.0,3.0,2.0,8.0,13.0,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.0
156,levers_2.1012-51a21e13-6d92-4b2e-9e3c-daaf470c0991,5.0,4.0,2.0,0.0,11.0,0.36363636363636365,0.18181818181818182,0.0,0.45454545454545453
157,levers_2.1350-5a8211e1-f5ee-4256-b1cc-2f4f0e6b08c3,3.0,3.0,4.0,0.0,10.0,0.3,0.4,0.0,0.3
