,sketchID,roi_labelName,numBackground,numCausal,numFunctional,numSymbol,totalStrokes,propCausal,propFunctional,propSymbol,propBackground
81,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,gear_2.0,0.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0
82,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,gear_3.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0
83,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,gear_4.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
84,gears_1.2989-156d9df6-e309-430b-bbac-e47b6792127e,symbols_nan,0.0,0.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0
85,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,background_5.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
86,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
87,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
88,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,gear_3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
89,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
90,gears_1.2990-838b4c34-f6c7-4ff8-9d65-2dc73da4632e,symbols_nan,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1.0,0.0
91,gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,background_5.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
92,gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,gear_1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
93,gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,gear_2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
94,gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,gear_3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
95,gears_1.3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,gear_4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
96,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,background_5.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
97,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,gear_1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
98,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,gear_2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
99,gears_1.3890-0990b186-d2cb-4b92-98cb-eb634cf917b8,gear_3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
